                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                0.38957,                0.47235,                0.29086,                0.80922,                0.98137,                 0.9991,                0.98371,                0.96048,                0.97984,                0.99797,                0.98364,                0.78868,                0.28722,                0.22603,                0.30472,                 0.7833,               0.001189,               0.001189,               0.001189
                     91,                0.36792,                0.37356,                0.28691,                0.80517,                0.98097,                0.99887,                0.98456,                0.96705,                 0.9797,                0.99902,                0.98471,                0.78696,                0.25773,                0.24507,                0.29111,                0.78254,                0.00109,                0.00109,                0.00109
                     92,                0.35912,                0.39084,                0.28484,                0.80588,                0.98143,                0.99909,                0.98531,                0.96685,                0.98055,                0.99819,                0.98527,                0.79161,                0.25781,                0.23458,                0.29381,                0.78201,               0.000991,               0.000991,               0.000991
                     93,                0.34025,                0.34765,                0.26912,                0.79694,                0.98106,                0.99932,                0.98764,                0.97088,                0.97951,                0.99775,                0.98754,                0.79306,                0.25024,                0.22994,                0.28161,                0.78107,               0.000892,               0.000892,               0.000892
                     94,                0.36804,                0.39911,                0.26449,                0.80572,                0.98122,                0.99937,                0.98886,                0.97064,                0.97989,                0.99802,                0.98883,                0.79116,                0.25296,                 0.2273,                0.27918,                0.78048,               0.000793,               0.000793,               0.000793
                     95,                0.35829,                0.35803,                0.26948,                0.80184,                0.98147,                 0.9991,                0.98921,                0.97171,                0.97992,                0.99752,                 0.9891,                0.79617,                0.24745,                0.22828,                0.27716,                0.78003,               0.000694,               0.000694,               0.000694
                     96,                0.35297,                0.41173,                0.27222,                0.80255,                0.98144,                0.99959,                0.98963,                0.97099,                0.98056,                0.99869,                0.98962,                0.79843,                0.24934,                0.22958,                0.27558,                0.78039,               0.000595,               0.000595,               0.000595
                     97,                0.35934,                0.40103,                0.26755,                0.79709,                0.98179,                0.99955,                0.98973,                0.97197,                0.98068,                0.99842,                0.98963,                0.79439,                0.24679,                0.23248,                0.27475,                0.78028,               0.000496,               0.000496,               0.000496
                     98,                0.35468,                0.38293,                 0.2686,                0.80495,                0.98097,                0.99955,                0.98973,                0.97161,                0.97968,                0.99824,                0.98989,                  0.791,                0.24405,                0.22749,                0.27347,                0.78015,               0.000397,               0.000397,               0.000397
                     99,                0.35062,                0.37681,                0.27724,                0.80065,                0.98122,                0.99922,                0.98985,                0.97162,                0.98011,                 0.9981,                0.99002,                0.79292,                0.24292,                0.22205,                0.27314,                0.77985,               0.000298,               0.000298,               0.000298
